novel_review_id,raw_language_scope,title,description,proposed_tag_count,proposed_tags
nrv_05e62cd2e122430a9567ba49,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",异界复制系统,"凭什么别人穿越都是一方大佬，小爷却还是个一穷二白的穷屌丝？
没有战骨无法修习武道？还想把小爷赶出家门？
灵丹妙药，天材地宝，那是什么，很稀奇吗？
钱？小爷有的是啊！
只要小爷我的偷天神器在，什么奇珍异果武技功法，全都统统复制！
轩辕大陆，小爷大名楚锋，神器在手，天下我有！",1,ct-v1-time-travel|time-travel|穿越|穿越
nrv_06d2f01c4d6115d24559c43f,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",My Brutal Alpha Mate,"What in God’s name was that smell?
It wasn’t a bad smell, mused a slowly waking Taryn whose eyelids
were too heavy to lift. It sure didn’t belong in her bed though. Her sleep-
fogged brain was able to tell her three things. One, the smell was actually a
person’s scent – a most delicious scent; fresh pine, spring rain and cedar
wood. Two, the alluring scent belonged to a male. And three, that male was a
wolf shifter, just like her. Taryn Warner did not smuggle strange guys into
the pack house, even if they did smell delicious.
Forcing a droopy eye open, she peeked at the space beside her and was
able to confirm her suspicion that the mystery male was long gone. Swerving
her head – which felt unnaturally heavy – she peered at her alarm clock. Or,
at least, she would have done if it hadn’t done a disappearing act. Along with
her bedside table. And these silky sheets beneath her, she suddenly realized,
were not her sheets.
With a start, she sat up. And cursed. Nope, she wasn’t in her room. In
fact, she wasn’t even in her home. Scanning her surroundings warily, her
eyes widened in response to not only the luxury around her, but also the
realisation that she was inside what looked to be a freaking cave. A cave?",1,ct-v1-tragic-ending|tragic-ending|悲剧结局|be
nrv_07fe888699ec164769b874a5,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",I Never Hated You,"Hakim was every girl's dream at Northwest High and every guy's role model. He was hot, smart, popular, romantic and all, and every girl's dream was to get laid by him. He was living the dream life, but he had one single problem; Dante. Dante was the complete vice versa of Hakim; soft, gentle, unnoticed, innocent, and these traits drew Hakim's heart towards him, and for that reason, Hakim hated him. He hated his lingering gazes and admiring glances, and he hated that he felt the need to hold him, to protect him, and for that reason he resolved to torment Dante, making his high school days unbearable. Dante was forever scarred by him, and his heart broke into many pieces.
Now, years later, after the two drifted apart, going on to their two separate worlds, Dante builds an image for himself. He is no longer the timid, innocent boy at Northwest High, but is now a top corporate lawyer in the industry, and a fine one at that.
What happens when he is hired by a law firm and finds out that his boss is no other person but Hakim? And what happens when a workplace romance sparks between him, Hakim, Basil (a detective), and his co-worker, Cole
",3,ct-v1-lawyer|lawyer|律师|lawyer ;; ct-v1-romance|romance|言情|romance ;; ct-v1-happy-ending|happy-ending|圆满结局|He
nrv_0921a9de78b791e147154794,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",腹黑邪王的毒医狂妃,"前世，独立坚韧的她被最爱的人设计杀死了自己的亲生父母，心灰意冷下引爆了身上的炸弹……
穿越后，面对父亲的冷淡，姐妹和姨娘的陷害，她都一一还了回去，只因她已不再是那个草包废物顾十一……

面对腹黑却专宠她一人的司徒景，她那颗坚如钢铁的心开始慢慢融化，
直到遇到和她一起穿越过来的司徒钰，受尽他的百般折磨，他嘴角勾着嗜血又好看的弧度：十一，不管前世今生，你都只属于我一个人……",1,ct-v1-time-travel|time-travel|穿越|穿越
nrv_093f53b0d4cfed4d1008b3e5,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",凤唳九州：暴君请退位,"大婚之夜，她翘首以盼的如意郎君，变成一把嗜血的刀，刺穿了她的身体，灭尽了她的九族。
唐青雁曾以为情爱便是得到，后来她错了，情爱是把利刃，让她坠入万劫不复之地。
许是上天怜悯让她一朝重生，她醒来发现，自己竟成了前世死对头他哥的新妇，只不过，她嫁过来的第一天就开始守寡。
唐青雁决定这一世要活得潇潇洒洒，先入商行，夺了京城首富的头衔，再入皇权，搅动九州乾坤。
终于成了有钱有权的富婆，唐青雁拽着某男的衣袖，鼓足勇气，“小叔，我要改嫁。”
顾修挑眉，“你生是我顾家的人，死是我顾家的鬼。”
她终于知道了上一辈子宠她、护她、为她披荆斩棘的人是他，也明白了，爱非得到而是守护。",1,ct-v1-rebirth|rebirth|重生|重生
nrv_0941679c3f6fbe79a3c47e11,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",狂拽冷少妖嬈妻,弄死個人然後就穿越了！唔，天理報應，因果循環？可是，我想要空調電腦熱水器，老天爺你倒是給我弄來啊！！！,1,ct-v1-time-travel|time-travel|穿越|穿越
nrv_0b4ed593335676a23a8a27bb,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Never Let You Go,"Tristan is just an ordinary employee with a small salary in big company, but he needs a lot of money to pay for his father's treatment. 

In a desperate situation Tristan joked about finding a sugar mommy to help with his financial problems. He had no idea that the joke would lead him into a complicated situation.  

What should Tristan do, when someone very powerful offers him to be a sugar baby and traps Tristan in a complicated family conflict?

""I only want your money and I pay for what you gave me with my body. Don't expect more, because between us there can't be any heart involved!""

",3,ct-v1-family|family|家庭|family ;; ct-v1-tragic-ending|tragic-ending|悲剧结局|be ;; ct-v1-happy-ending|happy-ending|圆满结局|he
nrv_0b8861078476620dc39a4287,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",When Are You?,"Celine is an assistant scientist to the genius but coldhearted Dr. Drake Cole. The doctor happened to specialize in quantum physics and time travel. He invented time travel gadgets that will allow humans to travel back and forth through time. It's a portable device compared to a bulky time machine. 

She's the only assistant who's willing to test these time travel gadgets. Her reason is that she would like to go back to the past where she wants to save the love of her life. He was murdered but the suspect was not convicted. She wants to bring him back to life so that she can be with her college sweetheart once again. 

Little did she know that Dr. Cole is keeping a secret that is related to her past. That's why he is against the idea of her going back to the past to test the gadget. She's very persistent and willing to do anything just to change the past of her lover. But it's against the rule of time travel and they will both have to face the consequences of their actions.

Will Celine be successful in changing her lover's past? Or will she end up falling for the genius scientist in the present? She will be confused but don't care even if time can affect what will happen to her future. All she knows is that she has to go back to the past so that she can move on and live in her present.",3,ct-v1-doctor|doctor|医生|doctor ;; ct-v1-genius|genius|天才|genius ;; ct-v1-happy-ending|happy-ending|圆满结局|He
nrv_0ba2b9878378160206a113d6,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Revenge Game,"REVENGE GAME
            🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹    
               🌹SEASON 1                🌹
                🌹      CHAPTER 1      🌹  
                 🌹🌹🌹🌹🌹🌹🌹🌹
                        

     The Dining table was all beautifully set and decorated with all of her Husbands favourite Dishes. She made sure they were well prepared by the Chef. This is the night. This night was going to be the night. This night was going to be an amazing one if everything goes according to her plans. She just couldn't wait for her husband to come home.
     What is it they say again? When a woman wants something, she becomes extraordinary sweet. Lolz. Anyways that's it, she wants.... perhaps needs something from her husband tonight. Something so important and special to her. It may seem like something small to anyone but it means the world to her. And tonight she was going to make sure she gets what she wants from him tonight.
       Laura knew her hushand too well. He always gave her whatever she asked for even without making all these effort she's made tonight.
    ""Sara! Sara"" she called out to the house's Chef.
      ""Yes Ma"" the 24 years old lady answered. Her Mistress wasn't so older than her, her pretty madam was just two years older than her.
      ""Is the Juice ready just the way he likes it?"" Laura asked.
      ""Yes Ma.""
     ""Go get it"" Laura ordered and the chef nodded and left for the kitchen. Sara wondered what her Mistress was up to this night. Though it wasn't the first time her Mistress was coming up with such surprises for her husband but tonight's surprise seemed extraordinary. With all the Dishes she was asked to make and the switching off of the lights and bright candles all over the dining table. Whats up?
       Laura looked at the clock again, five minutes to seven pm. He should be on his way home. She picked up her phone and dialed the number with the caller ID 'My Heart' and on the third ring it got connected.
     ""Hey Sunshine"" his sweet loving voice said across the line.
       ""Hi Sugar. Whats up?"" She settled for the sofa in the extra large larvishing living room.
     ""Just rounding up at work""
      ""Baby?"" She was a little upset. Before he left for work this morning, she had told him about their magical night and was expecting he gets home early.
        ""I'm sorry Love. I had so much on my desk but now I'm just rounding up. Just give me forty five minutes and I would be by your side""
        ""You need to be fast Babe""
        ""I know. Just forty five_ opps forty four minutes now.""
She smilled at his silliness ""I'll wait.""
        ""Cool. Love you."" He said
        ""Love you too"" she said and disconnected.
Forty five minutes he said. He was definitely going to get home soon. Its time to get dressed up with the magical dress of the night. 'Always use Men's weakpoint to get what you want from them' her Mum would always say and that Dress, her body...... Finally, after three solid years of planning, its finally time to get what she wanted from her Dear beloved husband. She quickly ran upstairs to get dressed.
      Philip Wondered what surprise his beloved Darling Wife had for him tonight. She was always full of surprises. Two years of their marriage and she always come up with fabulous surprises. This night wasn't going to be any less.
     He just couldn't wait to get home to his Better half. With all the stress he got from work today, that surprise and his wife would make a good stress reliever.
      He sorted everything on his desk out, picked up his cell phone and briefcase and headed out of his office. He stopped by his silly secretary to give her some instructions but she was too busy laughing over a phone call with both of her legs crossed on her desk.
     ""Lola... Lola"" her boss called out but she was too busy laughing. ""Lola!""
She turned to the direction her name was coming from with fright. ""Sir!"" She jumbed up and adjusted her clothes.
      ""You do your job well. I can see that.""he said with a sarcastic tone.
     ""I'm sorry sir"" she apologised
       ""I won't be early tomorrow, cancel my early appointments""
       ""Done sir."" She answered and he left. She let out the breath she's been holding. Thank God for the kind of Boss she has. Even as he saw her in that position he didn't make a fuss out of it. She knew too well not all Bosses were like that for instance Mr Atu the company's HR officer, she knows too well what his secretary go through everyday. She doesn't wish that for herself.
       Philip knew too well that after this awesome night, he won't be coming early to work. The thirty years old CEO walked majestically into the elevator and went for the ground floor. Few of his staffs were still working even when 5pm the normal closing time had passed.
     ""Goodevening Sir"" The few he passed by greeted and as a usual he responded with a nod and sweet smile.
     ""Oh my.... He is so handsome. Sometimes I wonder if Gid created him on a different day"" Zara one of his staffs ",2,ct-v1-chef|chef|厨师|Chef ;; ct-v1-happy-ending|happy-ending|圆满结局|He
nrv_0c4d1f95e99a9dd7434de480,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]","CRY OR BETTER YET, BEG","
WARNING! Explicit Content: BDSM and Mature Erotica. Read at Your Own Risk!

""Rape me? It's nothing new. Go ahead and do your wor-""

Her eyes flew open as she gasped for air, her face flushing instantly.

""S-son of a bi-ah... ... ahhh...""
She shut her eyes as her body trembled.

He grinned, wicked and satisfied.

""You can't even curse at me properly. Are you sure you hate me? Your body's sucking in my fingers like it's been starved.""

""That's not true, stop... ahhh...""
She cried out, tossing her head back as drool escaped her lips.

""Stop? You dared me to be my worst. At least have the backbone to endure it. In other words-try not to cum... from the fingers of the man who murdered your parents.""

""You bastard!""
She cried loudly.


-----------------
After her parents were brutally murdered, Aria was stolen away and groomed by a ruthless mafia lord-trained to be both a lethal assassin and a nymphomaniac sex doll.
She has only one mission: revenge.
She'll smile. She'll kneel. She'll obey.
 She'll play the perfect submissive... until the day she finds the man responsible for their deaths- and makes him bleed.
But everything shatters when she finds herself defenseless in the arms of her enemy.
No matter how much she fights, hates, or resists-he won't let her go.
 And worse...
 She's not allowed to die.
She can scream.
 She can cry.
 Hell-she can even beg.
But she will always be his.
 His to own.
 His to claim.
 His to break.


This book is strictly 18+ and contains dark romance elements including:

Non-consensual/Dubious consent scenes. Dangerous obsession. BDSM & psychological manipulation. Explicit sexual content
If these themes disturb you, do not proceed.
Otherwise, dive in...
 and enjoy this sinfully dark, spicy read.

",3,ct-v1-assassin|assassin|刺客|assassin ;; ct-v1-mafia|mafia|黑帮|mafia ;; ct-v1-happy-ending|happy-ending|圆满结局|He
nrv_0cb006fa8a79a53d24c7d04c,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",The Mafia King's Unwanted Wife Shines,"My husband ordered me to turn around and face the altar. He unbuckled his heavy leather belt, his eyes cold and devoid of mercy.

""You need to learn respect,"" Dante spat.

He whipped me in the family chapel until my back was a bloody mess. All because his mistress, Sofia, had framed me for breaking his grandfather's urn.

He didn't ask for the truth. He didn't hesitate. He just wanted to punish the wife he considered a burden.

As the belt tore into my skin, I didn't scream. I just counted the memories dying.

He didn't know I was the one who dove into the frozen lake to save him in high school.

He didn't know I was the one who took a knife for him during the ambush.

He believed Sofia's lies that she was his savior.

I had loved him for ten years. I had bled for him. And in return, he scarred me permanently for a crime I didn't commit.

That night, I didn't tend to my wounds. I packed my bags, signed the divorce papers, and swore on the Code of Omertà to never love him again.

Three years later, Dante found my old diary hidden under the floorboards. He read the truth about who really saved him, and realized he had tortured his guardian angel.

He found me in Paris, fell to his knees in a crowded hotel lobby, and begged for forgiveness with tears in his eyes.

I looked at the man who broke me and smiled.

""Lie down and die, Dante,"" I said softly. ""Because I have a life to live.""",3,ct-v1-crime|crime|犯罪|crime ;; ct-v1-family|family|家庭|family ;; ct-v1-divorce|divorce|离婚|divorce
nrv_0e3db5f7e5e281aa34e69c2d,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",A BRIDE FOR THE DEMON KING ,"She was forced to marry a monster.
He needed her to break his curse.
Falling in love was never the deal.
Princess Seraphina is sent to wed the feared Demon king. A man shrouded in darkness and secrets. Her plan?
Make him hate her enough to send her back.
But the palace is alive, the king is not what he seems. 
The longer she stays, the more she craves his darkness and touch.
Dark, twisted and addictive.
One bride, one demon, one curse that could end them both. ",2,ct-v1-princess|princess|公主|Princess ;; ct-v1-happy-ending|happy-ending|圆满结局|He
nrv_0ed2b684631761af792ee484,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",I Love The Bad Boy,"Cali Evans is just trying to get through high school without bringing unnecessary attention to her. She decided to join the cheer team and now hangs around in the popular crowd.

Shawn Myers is the bad boy. Without even trying, Shawn get all the girls attention, even when he doesn't want it. He only wants one girls attention, and one only. 

When Cali gets paired up with The Shawn Myers, she thinks her life it over. Quinn  would find out and she would be friendless. 

Trust, love and jealously brings the two together, but it also brings them apart. And so does Cali's thoughts about How To Get Through Highschool.",2,ct-v1-tragic-ending|tragic-ending|悲剧结局|be ;; ct-v1-happy-ending|happy-ending|圆满结局|he
nrv_112bcf8a034ca9b746a4fffc,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",天命爲凰：毒醫三小姐,"她是醫毒世家傳人能掌生，可控死，一朝穿越淪落成不能修煉的傻子廢物。
且看她強勢逆襲，凰逆九天。
他是大陸最尊貴的存在，翻手雲，覆手雨，腹黑冷漠，藐視天下，一怒天下變的天尊！
當他遇見她，只是一眼，寵她，護她，助她……
月黑之夜某尊握住了沐清菱的手腕。
「菱兒你看過了本尊的身體，是要負責的……」
「這是施針……天尊」
天尊笑的春風得意，一把將沐清菱扯入懷中直接吻住了脣。",1,ct-v1-time-travel|time-travel|穿越|穿越
nrv_11592fd55b4ac8f23ec6d1b4,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",网游之时来运转,"你可曾见过每刀都能暴击的刺客？
你可曾听过每只普通怪物死后都能掉落极品装备的传说？
王爽30级时觉醒逆天天赋，从此横扫垃圾玩家，越级吊打BOSS，收揽天下美女NPC追随。最终财色兼收，成为一代网游界的传说。",1,ct-v1-assassin|assassin|刺客|刺客
nrv_123a5a04af00f6cdef773211,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""6\""]"",[""string"",""法语""]]",Sacrifiée à la Bête: La Compagne sans Loup,"Aujourd'hui, mon père, l'Alpha de notre meute, épousait une femme à peine plus âgée que moi, le jour exact de l'anniversaire de la mort de ma mère.

Lors de la fête, ma nouvelle belle-mère a délibérément brisé le collier de ma mère, mon unique souvenir.

Lorsque j'ai osé me défendre, mon père m'a violemment giflée devant tous les invités.

« Tu apprendras à respecter ta nouvelle Luna. »

J'ai alors publiquement renié cette famille qui m'a toujours traitée comme un déchet parce que j'étais une anomalie : une fille d'Alpha sans loup intérieur.

Pour me faire taire et épargner ma parfaite petite sœur, mon père m'a froidement condamnée à mort.

Il m'a envoyée comme tribut au Roi Lycan de la Montagne Noire, un monstre maudit dont la bête intérieure déchiquette sauvagement toute femelle qui l'approche.

Enfermée dans une cage et envoyée vers ce château cauchemardesque, je n'ai ressenti que de la haine.

Comment mon propre père pouvait-il m'envoyer à l'abattoir avec un tel soulagement ?

Mais avant d'être jetée dans la chambre du Roi, la gouvernante m'a révélé un détail crucial : la folie meurtrière du monstre est déclenchée par l'odeur de l'esprit des louves.

Je n'ai pas de loup intérieur, je n'ai donc absolument aucune odeur.

Poussée dans les ténèbres de l'antre du Roi pour y être massacrée, j'ai attendu le coup fatal, mais le monstre est resté figé dans l'ombre, confus par mon absence d'aura.

C'est à cet instant précis que j'ai su que je n'allais pas mourir, et que la Maison Thorne allait amèrement regretter de m'avoir abandonnée.",2,ct-v1-werewolf-luna|werewolf-luna|Luna（狼人女首领）|Luna ;; ct-v1-werewolf-alpha|werewolf-alpha|Alpha（狼人首领）|Alpha
nrv_12c878cd1fdd130dcb78d754,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",Casamento Por Vingança,"Dylan, um jovem empresário rico e poderoso, fica furioso quando a sua mulher grávida morre num acidente. Para vingar a sua morte, procura o culpado e depara-se com o pai de Darla, uma jovem que a sua mulher tinha ajudado no passado. Dylan decide vingar-se dele, casando com Darla sob contrato, mas a sua relação depressa toma um rumo inesperado, passando do ódio ao amor.
Neste thriller emocionante, descubra como um casamento vingativo pode tornar-se numa intensa e inesquecível história de amor.
""Revenge Marriage é uma história de amor cativante e cheia de suspense.",3,ct-v1-suspense|suspense|悬疑|suspense ;; ct-v1-revenge|revenge|复仇|Revenge ;; ct-v1-marriage|marriage|婚姻题材|Marriage
